team,rating,rank
Spain,2165,1
Argentina,2113,2
France,2081,3
England,2020,4
Portugal,1984,5
Brazil,1984,5
Colombia,1975,7
Netherlands,1961,8
Ecuador,1933,9
Croatia,1930,10
Germany,1923,11
Norway,1912,12
Japan,1904,13
Turkey,1902,14
Uruguay,1892,15
Switzerland,1889,16
Senegal,1878,17
Belgium,1867,19
Mexico,1860,20
Paraguay,1833,22
Austria,1827,23
Morocco,1822,24
Canada,1784,25
Australia,1783,26
Scotland,1767,29
Iran,1760,31
South Korea,1752,33
Algeria,1743,35
Panama,1737,36
Uzbekistan,1727,38
Czechia,1726,40
United States,1721,41
Sweden,1719,43
Jordan,1690,50
Egypt,1689,51
Ivory Coast,1676,52
DR Congo,1655,54
Tunisia,1636,58
Iraq,1607,63
Bosnia and Herzegovina,1594,66
New Zealand,1585,68
Saudi Arabia,1568,71
Cape Verde,1549,72
Haiti,1532,77
South Africa,1524,79
Ghana,1503,82
Curaçao,1436,90
Qatar,1425,95
